id,domain,prior_severity,current_status,current_severity,residual_risk,evidence
T-ATT-04,Attachments & Media (T-ATT family) — Mercury iroh blob transfer + Hermes Gateway attachment paths,Medium,Open,Medium,Displayed filename/mime are sender-controlled and not bound to the blob bytes (only blobHash self-authenticates via iroh BLAKE3). Spoofed file identity / content-type confusion (e.g. .jpg display name on an executable payload) is possible. The MAC mitigation referenced in the addendum is on a different branch and is NOT in effect at this HEAD.,"OpenBurnBarCore/Sources/OpenBurnBarCore/SharedModels/HermesRealtimeRelayTypes.swift:1712-1738 — HermesRealtimeRelayAttachmentManifest has only manifestId/blobHash/filename/mime/size/peerDeviceId/createdAt; no signature or MAC field ; git ls-files (whole repo) returns no OpenBurnBarMobile/Services/Media/MercuryManifestMAC.swift on this branch; branch enumeration shows it exists only on main, remediation/tech-debt-fable-2026-06-12, landing/cure53-remediation-no-threat-model ; AgentLens/Services/Media/MacFileTransferService.swift:374-383 — handleAdvertise consumes media.attachment with no MAC/signature verification step ; OpenBurnBarMobile/Services/Media/iOSFileTransferService.swift:143-160 — iOS handleAdvertise likewise consumes the manifest with no authentication of filename/mime/size against bytes"
T-ATT-06,Attachments & Media (T-ATT family) — Mercury iroh blob transfer + Hermes Gateway attachment paths,Medium,Partial,Medium,"When no media-seal session key is negotiated, Mac-received media is plaintext at rest (quarantine-only); iOS is always plaintext. The fail-open posture is by design (keeps transfer working) but means at-rest confidentiality is not guaranteed without a negotiated key. Mac portion is code-mitigated + tested; iOS portion is open.",AgentLens/Services/Media/MacFileTransferService.swift:420-422 — `if let sealKey = frameSealKeyProvider(...)` seals only when a key exists; when nil the freshly-fetched plaintext persists (quarantine xattr only) ; AgentLens/Services/Media/MacFileTransferService.swift:523-543 — sealReceivedFileAtRest does atomic AES-256-GCM (OBMFA1) replace with manifest-bound AAD when a key is present ; AgentLensTests/Active/Security/MacFileTransferSecurityTests.swift:112-178 — tests cover both seal-with-key and the explicit 'keeps plaintext when no session key' fail-open behaviour ; OpenBurnBarMobile/Services/Media/iOSFileTransferService.swift:155-166 — iOS receive never seals at rest under any condition
T-AZ-03,"Cloud Authz, Rules & Gateway (T-AZ, T-GW)",Medium,Partial,Medium,Traffic-analysis/activity inference from cleartext metadata and Admin-SDK/operator visibility remain by design. Not an auth bypass; unchanged since baseline.,"firestore.rules:56-69 hasNoPlaintextSecretFields + sealed validators (e.g. cloud_vault_key_wrappers hasOnly allowlist firestore.rules:2212-2228) constrain shape but leave counts/timestamps/deviceIds/fingerprints cleartext. ; firestore.rules:2229-2253 — wrapper doc carries cleartext uid, targetDeviceId, sourceDeviceId, publicKeyFingerprint, keyVersion, vaultGeneration, status (metadata an operator/Admin-SDK reader sees in plaintext). ; Admin SDK bypasses rules entirely (firestore.rules:18-22 comment notes request.auth is not sufficient; provider_account_secret_refs read/write:false at firestore.rules:1086-1088 only blocks clients). ; functions/scripts/test-firestore-rules.mjs:2137 covers cloud_vault_key_wrappers shape enforcement, but cleartext-metadata exposure is an accepted-by-design property, not a test-closable bug."
T-AZ-04,"Cloud Authz, Rules & Gateway (T-AZ, T-GW)",Medium,Partial,Medium,Exact-top-level-name denylist cannot universally enforce no-plaintext-secret; defense-in-depth relies on client correctness (client unit tests). Unchanged.,"firestore.rules:56-69 — hasNoPlaintextSecretFields() denies only 12 exact top-level keys (apiKey, token, refreshToken, accessToken, idToken, cookie, password, secret, secretVersionName, authorization, bearer, credential). ; firestore.rules:71-75 — ownerWritableNonSecret() composes that denylist; a credential serialized under any other key name or nested in a map is not caught by rules. ; git diff 5416ef780 HEAD -- firestore.rules = empty; no new denylist entries or structural sealing added at HEAD."
T-AZ-05,"Cloud Authz, Rules & Gateway (T-AZ, T-GW)",Medium,Partial,Medium,"Matrix+drift test raise assurance, but enforcement of the documented ownership check inside each handler remains per-handler; a single handler deriving uid from request body without an owner check is still a cross-tenant Admin-SDK bypass. Per-endpoint BOLA tests not all present.","functions/src/security/endpointAuthorizationMatrix.ts:129-246 — authScopedCallables defaults set ownershipCheck='handler must derive uid from request.auth.uid and validate object path or owner uid before Admin SDK access' for ~110 callables. ; functions/src/__tests__/endpointAuthorizationMatrix.test.ts:21-28 — test asserts the matrix covers EVERY exported function from index.ts (drift fails CI); :30-48 requires non-empty trigger/authMethod/appCheck/tenantSource/ownershipCheck/negativeBolaTest per entry. ; functions/src/callables/hermesGateway.ts:1830-1838 newly added getHermesGatewayAttachmentDownloadUrl calls enforceAuthAndAppCheck and binds manifest.clientId/destinationId/storagePath to the caller's uid namespace (diff vs baseline) — a concrete example of correct per-handler ownership. ; endpointAuthorizationMatrix.ts:244 itself states 'endpoint-specific BOLA tests required' — the matrix proves coverage and intent, not that all ~110 handlers actually call assertOwnership."
T-AZ-06,"Cloud Authz, Rules & Gateway (T-AZ, T-GW)",Medium,Unverifiable,Medium,Direct Firestore/Storage SDK writes by a non-app client with a stolen/forged ID token remain possible if console App Check enforcement is OFF. UNKNOWN until deployed enforcement state is confirmed out-of-band.,"functions/src/config.ts:68,78-84 — enforceAppCheck defaults true and the loader throws/fails-closed if a prod project has App Check disabled (covers callable datapath only). ; firestore.rules:18-22 — explicit comment: 'request.auth below is not sufficient to block non-app clients. Enforce App Check for Cloud Firestore in the Firebase console' — rules cannot attest the app. ; endpointAuthorizationMatrix.ts:240 marks authScopedCallables appCheck='required', but that is intent, not proof the live project enforces it on the Firestore/Storage SDK datapath."
T-CRY-01,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",Medium,Open,Medium,"A hostile/compromised Firestore writer or relay can set supportsRelayEnvelopeVersions=[2]/preferredRelayEnvelopeVersion=2 and force v2; v2 is still sender-authenticated + confidential, so this is cryptanalytic-margin downgrade, not a plaintext/forgery break.","OpenBurnBarMobile/Services/HermesGatewayAPI.swift:1148-1152 — `preferredRelayEnvelopeVersionForSeal` returns whatever the server-supplied client record advertises (no cryptographic floor refusing v2 once v3 is negotiated) ; OpenBurnBarMobile/Services/GatewayEventSealer.swift:199-218 — when the record does not request v3 the phone seals with the weaker bespoke v2 2-DH wrap ; ADDENDUM CORRECTION: `git merge-base --is-ancestor` shows the version-floor remediation commits (9947384fd7, c2877993f8, ff2359f490) are NOT in HEAD; HermesGatewayVersionFloorStore.swift / HermesTransportFallbackGuard.swift do NOT exist at HEAD (`git cat-file -e HEAD:...` fails) — they live only on unmerged branches + stale DerivedData ; current-state-addendum.md:32 claims this control was compiled into the mobile target; that is not true for current HEAD"
T-CRY-02,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",Medium,Open,Medium,Any writer of users/{uid}/pi_agent_relay_requests (compromised owner account or write-capable relay) can mint/replay a ciphertext that opens; relay cannot read but can inject. Firestore owner-namespace rules limit who can write.,"AgentLens/Services/CloudSync/PiAgentCloudRelayHostService.swift:336-340 — decryptRelayRequest calls `PiAgentRelayCrypto.unwrapSymmetricKey(wrappedKey, privateKey:, aad:)` with NO sender public key / sender binding ; PiAgentCloudRelayHostService.swift:328-332 — accepts any well-formed wrappedKey+payloadCiphertext for the recipient; v1 wrap binds no sender ; git diff --stat 5416ef780 HEAD -- PiAgentCloudRelayHostService.swift is empty (file unchanged since baseline) ; REMEDIATION.md:42 lists T-CRY-02 sender-auth+replay as 'BG' (background/unmerged), not landed in HEAD"
T-CVS-01,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",Medium,Open,Medium,A Firestore writer who can delete the signalEnvelope field makes a forged/legacy doc indistinguishable from a legacy-only doc; full sender-auth bypass remains latent until the legacy floor is removed post-Signal-activation.,"android/app/src/main/java/com/openburnbar/data/assistants/AssistantChatHistoryStore.kt:817 — `if (data[""signalEnvelope""] == null || uid == null) return SignalFirstDecode.FallThrough` — a stripped/absent envelope skips fail-closed and falls through to legacy ; android/app/src/main/java/com/openburnbar/data/assistants/AssistantChatHistoryStore.kt:853-854 — FallThrough decodes legacy `sealedPayload` (HPKE-sealed but NOT sender-authenticated) ; OpenBurnBarCore/Sources/OpenBurnBarSignalCore/SignalAtRestFallbackPolicy.swift:35-55 — policy only runs on a PRESENT envelope throw; a null envelope is never classified, so no per-doc Signal-required pin exists ; git log --oneline 5416ef780..HEAD shows no change to the strip-detection logic; legacy floor still present (intentional until Phase-E)"
T-CVS-02,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",Medium,Open,Medium,Time-boxed spoof window during activation ramp before all trusted devices publish; only senderNotTrusted is downgrade-eligible.,"android/app/src/main/java/com/openburnbar/data/assistants/AssistantChatHistoryStore.kt:818 — `val senderSetComplete = trustedSenderPublicKeys.size > 1` (size>1 heuristic, unchanged) ; OpenBurnBarCore/Sources/OpenBurnBarSignalCore/SignalAtRestFallbackPolicy.swift:42-45 — `.senderNotTrusted` returns `!senderSetComplete`, i.e. downgrade-eligible while the set is incomplete ; AssistantChatHistoryStore.kt:832-836 — fail-closed only when policy refuses; otherwise FallThrough to legacy"
T-CVS-04,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",Medium,Open,Medium,A leaked recovery bundle protected by a weak/empty passphrase is offline-grindable and yields the SQLCipher DB key; only mitigation is the random 16B salt + AES-GCM integrity.,"AgentLens/Services/DataStore/DatabaseEncryptionService.swift:148 — `recoveryBundleIterations: UInt32 = 100_000` (still below OWASP 600k) ; DatabaseEncryptionService.swift:161-166 — exportRecoveryBundle(password:) accepts any password (including empty) with no min-length/zxcvbn gate ; DatabaseEncryptionService.swift:223-225,240 — importRecoveryBundle reads the iteration count from the attacker-supplied bundle bytes and feeds it straight to CCKeyDerivationPBKDF with NO import-side floor ; git diff 5416ef780 HEAD -- DatabaseEncryptionService.swift is empty (file unchanged since baseline)"
T-CVS-05,"Crypto, Keys & CloudVault (T-CVS, T-CRY)",Medium,Open,Medium,Future identity/vault-key compromise retroactively decrypts all previously captured sealed docs; rotation rewraps but does not provide PFS at rest.,"OpenBurnBarCore/Sources/OpenBurnBarSignalCore/SignalAtRestSealer.swift:143 — per-doc random `contentKey` is wrapped to the static recipient identity key; no ephemeral/ratcheted at-rest scheme ; OpenBurnBarCore/Sources/OpenBurnBarCore/SharedModels/CloudVaultCrypto.swift:687-746 — rewrapCloudVaultDocument reseals under a new key (rewrap, not ratchet) ; security/threat-model/REMEDIATION.md:43,65 — T-CVS-05 epoching is explicitly listed as a deferred decision ; Phase-6 gateway ratchet (OpenBurnBarMobile/Services/GatewayEventSealer.swift:230 sealGatewayEventRatchetPayload) is a TRANSPORT-lane construct, not at-rest sealing"
T-DMN-03,Daemon & local desktop (T-DMN),Medium,Partial,Medium,"Medium. The socket gate stops a swapped binary from impersonating the app's peers and shrinks the swap window, but the installed binary is still 0o755 user-writable and launchd does not re-verify on KeepAlive re-exec; a same-uid attacker who wins the race runs hostile code as the user with the daemon's creds/entitlements before any app connects. Because the app's socket client validates the daemon only by a same-uid-readable bearer token, a swapped daemon can also impersonate the daemon to the app — a residual the docstring's bidirectional-validation claim overstates as closed.","AgentLens/Services/OpenBurnBarDaemon/OpenBurnBarDaemonManager+Lifecycle.swift:136-141,172-208 — pre-exec validateDaemonBinary on source and installed path (TOCTOU vs launchd re-exec); atomicallyInstallBinary copies to temp, sets 0o755, replaceItemAt swap, re-asserts 0o755 — installed binary remains user-writable ; AgentLens/Services/OpenBurnBarDaemon/OpenBurnBarDaemonManager+Lifecycle.swift:273-282 — launchd plist KeepAlive:true/RunAtLoad:true re-execs the path with no signature check ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/OpenBurnBarDaemonServer.swift:577-596 — live socket gate contains impersonation of the app's peers by a swapped binary ; AgentLens/Services/OpenBurnBarDaemon/OpenBurnBarDaemonSocketClient.swift:1174-1184,1219 — the app's daemon client authenticates the daemon ONLY by a Keychain bearer token (no SecCode check), so a swapped daemon that wins the KeepAlive race can still impersonate the daemon TO the app"
T-DMN-04,Daemon & local desktop (T-DMN),Medium (High if app compromised),Open,Medium,"Medium, High if the app is compromised. The proof requirement is only as strong as app integrity: a compromised first-party app (T-DMN-01) satisfies the daemon's gate for shell/system-input/workspace-write without presenting a valid phone proof, because the daemon never independently verifies the op-hash-bound Ed25519 proof.","OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/ComputerUse/ComputerUseRunCoordinator.swift:6-16 — documented daemon dispatch flow: validate session, decode action, run capability gate (entitlement/scope/deny/budget); no phone-proof signature verification step ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/ComputerUse/ComputerUseRunCoordinator.swift:272-318,568-583 — approval path uses step-burst-signature (action signature + remaining-actions window), not an Ed25519 phone proof ; AgentLens/Services/ComputerUse/PhoneControlAuthorityValidator.swift:11-19,146-187 — Ed25519/Secure-Enclave-P256 authority verification lives in the APP, registering/verifying paired-peer verifying keys; daemon does not hold these keys ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/ComputerUse/ComputerUseService.swift:289 — sensitive ComputerUse authority is the app-side Ed25519 PhoneControlAuthorityValidator (daemon's own Ed25519 signer at :230 signs audit exports, not phone proofs)"
T-DMN-05,Daemon & local desktop (T-DMN),Medium,Partial,Medium,"Medium. With enforcement on by default and the standard plist not setting the flag, normal installs keep the gate. But an attacker who can influence the daemon's launch environment (replace the 0600 plist or inject env into the launchd job) sets the flag and drops the gate to .disabled, leaving only the same-uid-readable bearer token. The opt-out is compiled into the released binary. Whether the live deployed launchd job sets this is Unverifiable from the repo.","OpenBurnBarDaemon/Sources/OpenBurnBarDaemonExecutable/OpenBurnBarDaemonMain.swift:72-86 — makePeerAuthenticator returns .disabled (every peer admitted) when OPENBURNBAR_DAEMON_DISABLE_PEER_CODESIG=1 or BURNBAR_DAEMON_DISABLE_PEER_CODESIG=1; otherwise enforced:true; opt-out is logged loudly but ships in the released binary ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/BurnBarDaemonPeerAuthenticator.swift:56,62-63 — .disabled authenticator admits every peer (validatePeer returns immediately when !isEnforced) ; AgentLens/Services/OpenBurnBarDaemon/OpenBurnBarDaemonManager+Lifecycle.swift:230-271 — the app-written launchd plist EnvironmentVariables never include the disable flag, so the app-managed daemon always runs the gate enforced ; grep DISABLE_PEER_CODESIG over OpenBurnBarDaemon/Tests and AgentLensTests returns nothing — the disabled path has no regression test"
T-IOS-01,iOS/Apple (T-IOS),,Open,Medium,App-Group data readable on locked device,BurnBarWidgetSnapshot.swift:91 ; TextExpansionInbox.swift:36
T-IOS-03,iOS/Apple (T-IOS),,Partial,Medium,Non-mirror recordable,AgentWatchView.swift:92 ; ScreenPrivacyGuardTests.swift:15-65
T-IOS-04,iOS/Apple (T-IOS),,Open,Medium,Lock-screen/APNs leak,AgentReplyNotificationService.swift:187-199
T-IOS-05,iOS/Apple (T-IOS),,Open,Medium,Pasteboard token leak,NestHubSettingsCard.swift:584
T-PRV-04,Privacy & Telemetry (T-PRV),Medium,Open,Medium,"Medium — allowlist-by-default is absent; numeric PII, non-prefixed provider keys, and free-form error strings can still reach Cloud Logging / server Sentry verbatim.","functions/src/logging.ts:16-29 — SCRUB_PATTERNS unchanged: only email, IPv4, token prefixes (sk-|AIza|ya29.|eyJ), and 16-digit CC; no broadened provider-key coverage ; functions/src/logging.ts:72-90 — scrubValue only transforms strings (and recurses records/arrays); numbers and booleans pass through unscrubbed; redaction depends on key naming (isSensitiveLogKey) or matching one prefix pattern ; functions/src/logging.ts:163-170 — logCallableFailure logs error: String(error) which only goes through string scrubbing; free-form errors with non-prefixed tokens/paths/numeric ids are logged verbatim ; git diff 5416ef780 HEAD -- functions/src/logging.ts — EMPTY (0 changed lines); baseline SCRUB_PATTERNS are byte-identical. Addendum/REMEDIATION claim of 'expanded provider-token patterns and primitive-agnostic redaction' (addendum lines 29,56) is NOT in the code"
T-PRV-05,Privacy & Telemetry (T-PRV),Medium,Open,Medium,"Medium — a curious/compromised operator can perform frequency+facet analysis to infer providers used, device, timeline, and repeated query topics; no oblivious-access or padding defenses added.","functions/src/callables/encryptedSearchIndex.ts:46-66 — each posting edge stores cleartext provider, sourceKind, sourceID, documentID, bodyHash, storagePath plus per-chunk token co-occurrence (token_<hash>_<chunkID>); MAX_TOKEN_POSTING_EDGES_PER_CHUNK=96 (line 25) only bounds fan-out, no padding/dummy noise ; functions/src/callables/encryptedSearch.ts:265,300 — index ingest stores chunk.provider (cleartext facet, max 80 chars) and deviceId per chunk/document ; functions/src/callables/encryptedSearch.ts:593-597,618,657,703,711 — query path receives tokenHashes/semanticHashes in the clear and filters/queries posting+chunk docs by cleartext provider facet; server observes query hashes, posting fan-out, and result scoring/sizes ; ls functions/src/callables/encryptedSearch.ts — module moved from functions/src/encryptedSearch.ts into callables/ but leakage surface (cleartext facets, query hashes, posting graph, no padding) is unchanged in substance"
T-PTR-01,"Transport & Pairing (T-TRN, T-PTR)",Medium,Open,Medium,No claw-back: a key already resident on a revoked/offline device still decrypts pre-revocation synced content until a survivor finishes rotation+rewrap. New wraps are blocked at revoke time. Time-bounded read by an offline thief. Unchanged from baseline.,git diff 5416ef780 HEAD -- functions/src/callables/computerUseSecurity.ts — 0 lines changed (inline+survivor+stale-detector rotation chain intact) ; AgentLens/Services/ComputerUse/ComputerUseSecurityCallableClient.swift (diff vs baseline) — only adds environment: .live(...) injection and `try CloudVaultCrypto.generateVaultKey()`; rotation pickup path unchanged ; git diff 5416ef780 HEAD -- functions/src/cloudVaultRotationResilience.ts — 0 lines changed (stale detector intact)
T-PTR-02,"Transport & Pairing (T-TRN, T-PTR)",Medium,Open,Medium,No server-driven rotation; iOS has no survivor rotate-pickup; Android pickup remains Devices-screen-gated rather than per-foreground. Prolonged cached-key window for iOS-survivor or Devices-screen-avoidant fleets. Unchanged.,git diff 5416ef780 HEAD -- AgentLens/App/AppDelegate.swift — 0 lines changed (Mac launch/foreground/post-revoke pickup unchanged) ; git diff 5416ef780 HEAD -- OpenBurnBarMobile/Models/DevicesStore.swift — 0 lines changed (Android/iOS pickup gating unchanged) ; git diff 5416ef780 HEAD -- functions/src/cloudVaultRotationResilience.ts — 0 lines changed (no server-driven rotation added)
T-PTR-04,"Transport & Pairing (T-TRN, T-PTR)",Medium,Open,Medium,"Operator is not, by default, prompted to compare an out-of-band safety code at approval time. A captured-but-valid approval that App Check + nonce admit can enroll a device the human never visually confirmed. Unchanged from baseline.",OpenBurnBarCore/Sources/OpenBurnBarCore/SharedModels/EscrowDeviceSafetyCode.swift:196-211 — EscrowDeviceTrustSafetyCheckFlag.defaultEnabled = false; isEnabled honors a UserDefaults override else returns false ; AgentLens/Views/Settings/DevicesAndSyncSettingsView.swift:241 — UI reads EscrowDeviceTrustSafetyCheckFlag.isEnabled() (still gated on the default-off flag) ; functions/src/callables/computerUseSecurity.ts (0 diff vs baseline) — server fingerprint->bytes binding still enforced; controller-pin runtime gate still on
T-SC-01,Supply Chain & CI (T-SC),High,Mitigated-in-code,Medium,"Pin set is only as good as the gate being a REQUIRED check on a protected branch (Unverifiable from repo). Dependabot github-actions ecosystem bumps the pinned SHA, which is correct behavior, but a compromised upstream tag-move is only caught if a human reviews the new SHA. Within-pin trust is unchanged: a malicious commit at the pinned SHA would still execute.",".github/workflows/fast-feedback.yml:478 — dtolnay/rust-toolchain@b3b07ba8... (baseline was @stable, the exact mutable-tag example from the prior register) ; scripts/ci/verify-github-action-pins.mjs:25-27 — fails closed unless ref matches 40-hex SHA or sha256 digest; this file DID NOT exist at baseline ; .github/workflows/workflow-lint.yml:45-46 — pin-verify wired as a step (runs on workflow changes + push to main + merge_group) ; grep across all 33 workflows / 133 `uses:` lines returns ZERO mutable @v*/@main/@stable refs not also SHA-pinned"
T-SC-04,Supply Chain & CI (T-SC),Medium,Partial,Medium,A vulnerable SwiftPM dependency (Package.resolved) or a vulnerable crate in the vendored libsignal lock or build-helper locks can land undetected by OSV; Rust app/engine crates are reasonably covered by cargo-audit (RustSec) and cargo-deny but with 4 accepted unmaintained ignores. SwiftPM advisory coverage is the largest residual gap.,".github/workflows/security-pr.yml:233-240 — OSV-Scanner scans 8 npm package-lock.json files only (no Cargo.lock, no Package.resolved) ; .github/workflows/rust-sast.yml:90-98 — cargo-audit covers openburnbar-iroh + burnbar-remote crates (advisory DB), but not Vendor/libsignal/Cargo.lock nor build/uniffi-bindgen-*-helper crates ; find shows Vendor/libsignal/Cargo.lock, build/uniffi-bindgen-{swift,kotlin}-helper/Cargo.lock, OpenBurnBarCore/Package.resolved, OpenBurnBarDaemon/Package.resolved — none OSV/audit scanned ; No gradle.lockfile present in tree; dependabot covers gradle/cargo/swift ecosystems (version PRs, not OSV gating)"
T-SC-06,Supply Chain & CI (T-SC),Medium,Open,Medium,"If RELEASE_SIGNING_KEY is unset/cleared, the release still publishes UNSIGNED GPG checksums and the job passes; remaining provenance is Sparkle Ed25519 + Apple notarization + cosign attestations. Whether the key is actually configured in the live release environment is Unverifiable from the repo. Mitigated by the new cosign artifact attestations (see T-SC-08).",.github/workflows/release.yml:678 — `if: env.RELEASE_SIGNING_KEY != ''` still gates the GPG detach-sign step (best-effort) ; .github/workflows/release.yml:684-688 — gpg --detach-sign runs only when the key is present; signature artifact uploaded only `if steps.sign-checksums.outputs.sig_path != ''` (release.yml:885) ; .github/workflows/release.yml:~141-160 'Validate strict release secrets' lists APPLE_*/FIREBASE_*/SPARKLE keys as required but NOT RELEASE_SIGNING_KEY
T-TOOL-06,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Medium,Partial,Medium,Medium — a Firestore-write-capable attacker who pre-seeds a key BEFORE first pin can forge signed grant requests; safety depends on pin enforcement and firestore.rules write protection (deployed-state Unverifiable from repo).,"AgentLens/Services/ComputerUse/AgentCapabilityGrantQueueListener.swift:116-123 — authorityPublicKey reads agent_grant_authorities/{deviceId} from Firestore; :96,104 then registerPeer with that key. ; AgentLens/Services/ComputerUse/PhoneControlAuthorityValidator.swift:202-225 — controllerPinStore.verifyOrPin anchors the advertised key to the operator-pinned key; a key differing from the pin is .mismatch -> .refused(.pinMismatch); optional safety-code confirmation gated by pinEnforcement(). ; git diff --stat 5416ef780 HEAD -- AgentCapabilityGrantQueueListener.swift — empty (no change to the cloud-sourcing path)."
T-TOOL-07,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Medium,Open,Medium,Medium — BurnBar cannot verify the external CLI honors workspace-write/auto-medium; autonomous shell within the CLI sandbox is possible without YOLO.,AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:89-91 — a non-YOLO grant with workspaceWrite OR shell maps to codex --sandbox workspace-write (autonomous in-workspace command execution under the CLI's own sandbox). ; AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:124-126 — droid maps .shell capability to --auto medium (autonomous mid-level). ; git diff --stat 5416ef780 HEAD on CLIArgumentBuilder.swift — empty.
T-TRN-04,"Transport & Pairing (T-TRN, T-PTR)",Medium,Open,Medium,"Persistent never-rotated NodeIds + relay URL + direct IPs enable cloud/relay-side localization, presence, and correlation. Payload confidentiality preserved by E2E sealing. No mitigation added since baseline.","AgentLens/Services/IrohRelay/FirestoreIrohPairingDirectory.swift:62-77 — pairing records carry raw nodeId, relayURL, directAddresses in plaintext Firestore ; OpenBurnBarMobile/Services/IrohRelay/HermesIrohRelayTransport.swift:443-445 — audit detail logs localNodeId, targetNodeId, relayURL ; OpenBurnBarCore/Sources/OpenBurnBarIrohRelay/IrohRelayPairing.swift:95-97 — canonical signed payload includes uid|connectionId|nodeId|relayURL|directAddresses (long-lived identifiers) ; firestore.rules:2684-2686 — iroh_audit_events are owner-readable; cloud/namespace-read observers see this metadata"
T-TRN-05,"Transport & Pairing (T-TRN, T-PTR)",Medium,Open,Medium,Bounded ~3-minute replay window of an old signed record (or wider with client clock skew); no session-challenge binding or monotonic counter. NodeId reassignment within the window is unlikely but possible. Unchanged from baseline.,OpenBurnBarCore/Sources/OpenBurnBarIrohRelay/IrohRelayPairing.swift:69-75 — freshness window is still 3*60 = 180s (IrohPairingFreshness.maximumAgeSeconds) ; OpenBurnBarCore/Sources/OpenBurnBarIrohRelay/IrohRelayPairing.swift:160-167 — verify checks Ed25519 signature then rejects records older than maximumAge using client clock (now) ; OpenBurnBarCore/Sources/OpenBurnBarIrohRelay/IrohRelayPairing.swift:95-97 — no per-record nonce / monotonic counter; only publishedAtMillis in the canonical payload ; git diff 5416ef780 HEAD -- OpenBurnBarCore/Sources/OpenBurnBarIrohRelay/IrohRelayPairing.swift — 0 lines changed
T-TRN-06,"Transport & Pairing (T-TRN, T-PTR)",Medium,Open,Medium,"Unauthenticated peers can force repeated handshakes (CPU/handshake amplification) plus Firestore allowlist read pressure; default-deny closes streams fast and QUIC idle timeout caps lingering, but there is no connection-rate limit or concurrent cap. No plaintext exposure.","crates/openburnbar-iroh/src/lib.rs:450-497 — accept_one completes ALPN/QUIC handshake + accept_bi for ANY peer; no per-source rate limit, no concurrent-handshake/connection cap ; AgentLens/Services/IrohRelay/HermesIrohRelayHostClient.swift:292-305 — allowlist check + close happens only AFTER the handshake and stream accept; a Firestore allowlist read occurs per accept loop ; crates/openburnbar-iroh/Cargo.toml:51-53 — only [lints.clippy] deny added vs baseline; no throttle/semaphore introduced ; grep for rate-limit/semaphore/max_conn/concurrent in crates/openburnbar-iroh/src — no matches"
T-AI-05,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Low,Partial,Low,Low — user can be nudged toward a model-suggested harmful next mission; structural validation limits but does not vet content.,"functions/src/insightsHostedAnswer.ts:123-124,282,301 — provider output parsed into a strict InsightAnalysisResult envelope with bounded sizes (recommendations ≤4, missionCandidates ≤4, etc.) and digest-only input. ; functions/src/insightsHostedAnswer.ts — recommendations/missionCandidates are rendered as user-facing action proposals; no semantic safety validation of the suggested missions/actions found."
T-AND-03,Android platform (T-AND),Low,Mitigated-in-code,Low,"LOW — exported components are still reachable by other apps and the burnbar:// deep link is parsed in release, but it produces navigation only (no auto-submit, no privileged action). Residual gap unchanged: widget receivers carry no custom signature permission, so a malicious app can still fire APPWIDGET_UPDATE broadcasts (cosmetic refresh only).","android/app/src/main/java/com/openburnbar/MainActivityIntentActions.kt:7-13 — stashPendingPromptFromIntent is a pure no-op: 'Public/browsable intents are navigation-only. Never auto-submit a prompt supplied by an exported Activity Intent' ; android/app/src/main/AndroidManifest.xml:64-78,193-206 — MainActivity and QuickGlanceActivity are exported with burnbar:// VIEW filters (autoVerify=false); QuickGlance is singleTask/noHistory/excludeFromRecents ; android/app/src/main/java/com/openburnbar/menubar/QuickGlanceActivity.kt:56-64 — onOpenDashboard launches a fixed Intent(MainActivity, data=burnbar://dashboard); no external intent extras are consumed for any side effect ; android/app/src/main/AndroidManifest.xml:150-184 — tile/IME/wallpaper services are exported but gated by BIND_QUICK_SETTINGS_TILE / BIND_INPUT_METHOD / BIND_WALLPAPER system permissions; widget receivers (84-145) accept only APPWIDGET_UPDATE"
