"id","title","category","framework_mapping","component","data_flow","asset","threat_actor","preconditions","attack_path","impact","likelihood","severity","existing_controls","gaps","residual_risk","detection","tests","evidence","owner","priority","cure53_relevance"
"T-AND-01","Vault/Signal/relay private keys recoverable on rooted/forensic device","STRIDE-S/T / MASVS-STORAGE-1,CRYPTO-2","STRIDE; MASVS; ASVS","AndroidLocalSecretBox + SharedPreferences (CloudVaultCrypto.kt:1206-1221, AndroidSignalIdentityKeyStore.kt, HermesRelayKeyStore.kt:33)","Android app<->Keystore/FCM","Android local data, keys, FCM payloads","Thief with unlocked phone or malicious app","Physical access to an unlocked device or a malicious app with shared access","Root/Keystore-extraction reads prefs and unwraps via non-auth Keystore AES key (no biometric, no StrongBox) -> decrypts wrapped vault key -> reads all cloud chat","Medium","Medium-High","Medium","Keystore-wrapped non-exportable key, allowBackup=false, FLAG_SECURE","Wrapping key not StrongBox/user-auth-bound; raw key blobs in plain SharedPreferences","HIGH on rooted device, LOW on stock locked device","n/a on-device; FCM payload review; Play Integrity (server-side)","See security-test-plan.md (T-AND); automated regression recommended","AndroidLocalSecretBox + SharedPreferences (CloudVaultCrypto.kt:1206-1221, AndroidSignalIdentityKeyStore.kt, HermesRelayKeyStore.kt:33)","Mobile-Android","P2 (important hardening)","Standard"
"T-AND-02","Base-config cleartext permits HTTP to non-deny-listed hosts","STRIDE-I / MASVS-NETWORK-1","STRIDE; MASVS; ASVS","network_security_config.xml:33","Android app<->Keystore/FCM","Android local data, keys, FCM payloads","Thief with unlocked phone or malicious app","Physical access to an unlocked device or a malicious app with shared access","SDK/image-loader/relay-or-tunnel host not in deny list issues plain HTTP on hostile network -> interception/injection; only app-layer validatedBaseURL blocks public HTTP and does not cover all callers","Medium","Medium","Medium","Backend hosts hard-denied @40-54, app-layer validatedBaseURL","No OS-level LAN-only scoping (cannot express RFC1918 CIDR); LAN-direct TLS migration unimplemented","MEDIUM","n/a on-device; FCM payload review; Play Integrity (server-side)","See security-test-plan.md (T-AND); automated regression recommended","network_security_config.xml:33","Mobile-Android","P2 (important hardening)","Standard"
"T-AND-04","Sender-auth downgrade window while trusted-sender set 'incomplete'","STRIDE-S/T / Agentic-supply-chain / MASVS-AUTH","STRIDE; MASVS; ASVS; Agentic","SignalAtRestFallbackPolicy.kt:34-50 + senderSetComplete=size>1 heuristic","Android app<->Keystore/FCM","Android local data, keys, FCM payloads","Thief with unlocked phone or malicious app","Physical access to an unlocked device or a malicious app with shared access","Firestore writer supplies unknown-sender envelope; while trustedSenderPublicKeys.size==1 (single peer or escrow_devices fetch failure @AndroidCloudVaultSignalPayloads.kt:143) SenderNotTrusted stays legacy-eligible -> recipient decodes sender-unauthenticated legacy sealedPayload","Medium","Medium","Medium","Forged-sig & stripped-block always fail-closed (@38-40); binding-mismatch fail-closed (@45)","size>1 is coarse readiness proxy, not 'published set complete'; transient fetch failure silently downgrades","MEDIUM (narrows to readiness/single-peer cases)","n/a on-device; FCM payload review; Play Integrity (server-side)","See security-test-plan.md (T-AND); automated regression recommended","SignalAtRestFallbackPolicy.kt:34-50 + senderSetComplete=size>1 heuristic","Mobile-Android","P2 (important hardening)","Standard"
"T-ATT-02","iOS received media stored plaintext at rest (no seal/quarantine/gate)","STRIDE Information disclosure; CWE-312/770","STRIDE; CWE-312","iOSFileTransferService.handleAdvertise","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","handleAdvertise (135-208) fetches blob and records URL only; lacks Mac path's capabilityGate (391), sealReceivedFileAtRest (421), applyInboundQuarantine (423); inbox in Caches/Mercury/Inbox; no FileProtection set.","Medium","Medium","Medium","iOS sandbox + default Data Protection","Platform parity; no explicit complete protection; no inbound byte budget.","Plaintext media recoverable from unlocked/jailbroken device or backup; unbounded inbound.","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","iOSFileTransferService.handleAdvertise","Backend + Media","P2 (important hardening)","Standard"
"T-ATT-03","Wire-manifest filename/mime/size leak metadata to relay if frame not E2EE-sealed","STRIDE Information disclosure / LINDDUN Disclosure; CWE-201/359","STRIDE; LINDDUN; CWE-201","HermesRealtimeRelayAttachmentManifest in advertise frame","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","Plaintext filename/mime/size (HermesRealtimeRelayTypes.swift:1712-1738) embedded in frame.media.attachment (MacFileTransferService.swift:211-218); confidentiality depends entirely on relay frame-sealing at another layer.","Medium","Medium","Medium","At-rest Firestore manifest seals filename","Transport manifest unsealed at this layer; trust doc implies 'never readable by server'.","Filename/size metadata visible to relay if frame E2EE inactive.","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","HermesRealtimeRelayAttachmentManifest in advertise frame","Backend + Media","P2 (important hardening)","Standard"
"T-ATT-04","Unauthenticated Mercury manifest metadata (no MAC/signature)","STRIDE Tampering; CWE-345/646","STRIDE; CWE-345","HermesRealtimeRelayAttachmentManifest","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","Manifest has no signature field (Types 1712-1738); filename/mime/size/peerDeviceId all sender-controlled; only blobHash self-authenticates via iroh, so displayed name/type not bound to bytes.","Medium","Medium","Medium","Bytes bound to blobHash on export","Displayed filename/mime not bound to content.","Spoofed file identity / content-type confusion (e.g. .jpg name on executable payload).","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","HermesRealtimeRelayAttachmentManifest","Backend + Media","P2 (important hardening)","Standard"
"T-ATT-06","Seal-at-rest silently skipped when no media session key (fail-open)","STRIDE Information disclosure; CWE-311","STRIDE; CWE-311","MacFileTransferService:420-422","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","if let sealKey = frameSealKeyProvider(...) — when nil, freshly-fetched plaintext blob persists in Caches inbox (quarantine-only).","Medium","Medium","Medium","Quarantine xattr; sandbox","Fail-open: no key keeps plaintext rather than refusing transfer.","Plaintext media at rest when key negotiation absent.","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","MacFileTransferService:420-422","Backend + Media","P2 (important hardening)","Standard"
"T-AZ-03","Metadata leakage in sealed cloud sync","STRIDE:InformationDisclosure / LINDDUN:Detectability","STRIDE; LINDDUN","users/{uid}/{usage,budgetRules,conversations,...}","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Operator/server with Firestore access reads cleartext metadata (counts, timestamps, deviceIds, projectKeyHash)","Medium","Low","Medium","Content fields sealed (:462-500); plaintext-name fail-closed create (:1163-1165)","Sealing covers named fields only; surrounding metadata cleartext by design","Traffic-analysis / activity inference; not an auth bypass","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","users/{uid}/{usage,budgetRules,conversations,...}","Backend (Functions/Rules)","P2 (important hardening)","Standard"
"T-AZ-04","Plaintext secret in a non-denylisted field","STRIDE:InformationDisclosure / OWASP-API3:BOPLA / ASVS-V8","STRIDE; ASVS; API3:","Any owner-writable collection using ownerWritableNonSecret","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Client serializes credential under key not in 12-name denylist or nested map","Medium","Low","Medium","hasNoPlaintextSecretFields (:56-69) + sealed validators + client unit tests","Denylist exact-top-level names only; rules cannot enforce universally","Depends on client correctness; defense-in-depth only","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","Any owner-writable collection using ownerWritableNonSecret","Backend (Functions/Rules)","P2 (important hardening)","Standard"
"T-AZ-05","Admin-SDK rule-bypass via callable missing ownership check","STRIDE:ElevationOfPrivilege / OWASP-API5:BFLA / ASVS-V4","STRIDE; ASVS; API5:","100 onCall + 8 onRequest endpoints","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Handler performs Admin-SDK I/O for a uid it did not authorize (Admin SDK ignores rules)","Medium","Low","Medium","enforceAuthAndAppCheck/assertOwnership (auth.ts:22-31,69-73); assertUserStoragePath (shared.ts:514)","Enforcement is per-handler convention, not structural; full 100-handler enumeration out of scope","One handler deriving uid from body without assertOwnership = cross-tenant read/write","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","100 onCall + 8 onRequest endpoints","Backend (Functions/Rules)","P2 (important hardening)","Standard"
"T-AZ-06","App Check console enforcement not provable from code","STRIDE:Spoofing / OWASP-API2:BrokenAuth / ASVS-V2","STRIDE; ASVS; API2:","Firestore/Storage SDK datapath","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Non-app client with stolen/forged ID token writes directly via SDK if console App Check enforcement is OFF","Medium","Low","Medium","Callables fail-closed in prod (config.ts:78-84); rules require request.auth","rules request.auth alone does not attest the app; SDK App Check is a console toggle absent from repo (firestore.rules:20-23)","UNKNOWN until deployed enforcement state confirmed","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","Firestore/Storage SDK datapath","Backend (Functions/Rules)","P2 (important hardening)","Standard"
"T-CRY-01","Gateway lane crypto downgrade v3->v2 via server-supplied version advertisement","STRIDE:Tampering/Spoofing-of-policy; Agentic: MITRE ATLAS AML.T0048","STRIDE; ATLAS; Agentic","GatewayEventSealer / HermesGatewayAPI","Phone<->Cloud<->Mac sealed relay/gateway","Relay & gateway message payloads","Network attacker / malicious or compromised relay","On-path network position or control of a relay/gateway lane","Hostile/compromised relay or Firestore writer sets client record supportsRelayEnvelopeVersions=[2]/preferredRelayEnvelopeVersion=2 (HermesGatewayAPI.swift:1229-1230); phone seals phone->agent events with weaker bespoke v2 2-DH wrap (GatewayEventSealer.swift:210-218); reply side accepts v2 when wire relayKeyVersion==2 (:890-897).","Medium","Medium","Medium","v2 is still sender-authenticated + confidential (no forgery/plaintext downgrade); keys TOFU-pinned and immutable.","No cryptographic version floor that refuses v2 once v3 negotiated; server controls advertised version. CURE53 T-GW-5 confirms _emit_version_or_refuse unmerged.","Relay forces older, less-standard primitive; cryptanalytic margin only, no practical break of v2.","Relay version telemetry; HPKE open-failure metrics; downgrade-rate alarm (missing)","See security-test-plan.md (T-CRY); automated regression recommended","GatewayEventSealer / HermesGatewayAPI","Crypto/Core (OpenBurnBarCore)","P2 (important hardening)","Standard"
"T-CRY-02","Pi-agent relay request lane has NO sender authentication (v1 ephemeral-static wrap)","STRIDE:Spoofing/Tampering","STRIDE","PiAgentCloudRelayHostService","Phone<->Cloud<->Mac sealed relay/gateway","Relay & gateway message payloads","Network attacker / malicious or compromised relay","On-path network position or control of a relay/gateway lane","decryptRelayRequest opens with PiAgentRelayCrypto.unwrapSymmetricKey (no sender key) at PiAgentCloudRelayHostService.swift:336-340; any writer of users/{uid}/pi_agent_relay_requests with the recipient's published public key can mint a ciphertext that opens, since v1 wrap binds no sender.","Medium","Medium","Medium","Firestore rules scope writes to owner namespace (firestore.rules:3161-3163); confidentiality vs relay holds.","No pinned-sender binding, no counter/replay cache on this lane.","Forged/replayed Pi-agent requests within a compromised owner account or by a write-capable relay; relay cannot read but could inject.","Relay version telemetry; HPKE open-failure metrics; downgrade-rate alarm (missing)","See security-test-plan.md (T-CRY); automated regression recommended","PiAgentCloudRelayHostService","Crypto/Core (OpenBurnBarCore)","P2 (important hardening)","Standard"
"T-CVS-01","Server strips signalEnvelope to force unauthenticated legacy decode","STRIDE:Tampering/Repudiation; agentic-supply-chain","STRIDE","AssistantChatHistoryStore.kt reader fallback / dual-write","Client<->Firestore client-sealed sync","CloudVault at-rest content; vault & identity private keys","Compromised unlocked endpoint / curious cloud operator","Read access to Firestore ciphertext, OR code running as the app on an unlocked device","Malicious Firestore writer deletes signalEnvelope field; reader sees null -> FallThrough -> decodes unauthenticated legacy sealedPayload; fail-closed policy never runs (no envelope present)","Medium","Low","Medium","Legacy AES-GCM still confidential + path-AAD; fail-closed only for PRESENT-but-broken envelopes","No per-doc Signal-required pin; strip indistinguishable from legacy-only doc","Full sender-auth bypass survives until legacy floor removed post-activation (latent; bites once Signal is live)","Firestore read audit; at-rest open-failure metrics; key-access logs (endpoint side)","See security-test-plan.md (T-CVS); automated regression recommended","AssistantChatHistoryStore.kt reader fallback / dual-write","Crypto/Core + Mobile","P2 (important hardening)","Standard"
"T-CVS-02","senderNotTrusted legacy downgrade window during rollout","STRIDE:Spoofing","STRIDE","SignalAtRestFallbackPolicy + senderSetComplete heuristic","Client<->Firestore client-sealed sync","CloudVault at-rest content; vault & identity private keys","Compromised unlocked endpoint / curious cloud operator","Read access to Firestore ciphertext, OR code running as the app on an unlocked device","Before all trusted devices publish, senderSetComplete==false (size>1 heuristic), so server-forged envelope naming an unpublished device id is accepted as a readiness gap rather than dropped","Medium","Low","Medium","Only senderNotTrusted is downgrade-eligible; signature required once id resolves","size>1 heuristic; single legitimate peer mis-handled","Time-boxed spoof window during activation ramp","Firestore read audit; at-rest open-failure metrics; key-access logs (endpoint side)","See security-test-plan.md (T-CVS); automated regression recommended","SignalAtRestFallbackPolicy + senderSetComplete heuristic","Crypto/Core + Mobile","P2 (important hardening)","Standard"
"T-CVS-04","Weak/empty passphrase + low-iteration recovery bundle brute-forced offline","STRIDE:Information Disclosure","STRIDE","DatabaseEncryptionService recovery bundle","Client<->Firestore client-sealed sync","CloudVault at-rest content; vault & identity private keys","Compromised unlocked endpoint / curious cloud operator","Read access to Firestore ciphertext, OR code running as the app on an unlocked device","exportRecoveryBundle(empty) derives key from empty/weak password at 100k iters; bundle on disk/cloud offline-grindable; import trusts attacker-supplied iteration count (no floor)","Medium","Low","Medium","Random 16B salt + AES-GCM integrity","No min-length/zxcvbn gate, no import-side iteration floor, 100k < OWASP 600k","Leaked bundle with weak passphrase yields SQLCipher DB key","Firestore read audit; at-rest open-failure metrics; key-access logs (endpoint side)","See security-test-plan.md (T-CVS); automated regression recommended","DatabaseEncryptionService recovery bundle","Crypto/Core + Mobile","P2 (important hardening)","Standard"
"T-CVS-05","No forward secrecy for at-rest sealing","STRIDE:Cryptography/Repudiation","STRIDE","SignalAtRestSealer recipient identity seal + persistent vault key","Client<->Firestore client-sealed sync","CloudVault at-rest content; vault & identity private keys","Compromised unlocked endpoint / curious cloud operator","Read access to Firestore ciphertext, OR code running as the app on an unlocked device","Content keys wrap to static recipient identity key; vault key long-lived; future identity/vault-key compromise retroactively decrypts all previously captured sealed docs","Medium","Low","Medium","Per-message random content key; rotation via rewrapCloudVaultDocument (rewrap, not ratchet)","No ephemeral/ratcheted at-rest scheme","No PFS at rest (consistent with threat-model:33 relay concession)","Firestore read audit; at-rest open-failure metrics; key-access logs (endpoint side)","See security-test-plan.md (T-CVS); automated regression recommended","SignalAtRestSealer recipient identity seal + persistent vault key","Crypto/Core + Mobile","P2 (important hardening)","Standard"
"T-DMN-03","User-writable daemon binary; pre-exec signature check is TOCTOU and launchd does not re-verify","STRIDE:Tampering/Elevation","STRIDE","OpenBurnBarDaemonManager+Lifecycle.swift / ~/Library/Application Support/.../daemon/OpenBurnBarDaemon (0755)","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","Same-uid attacker swaps the installed binary between the app's validateStaticCode and launchd KeepAlive exec; launchd execs whatever is at the path without signature check.","Medium","Medium","Medium","RR-3 live socket peer code-sig gate (swapped binary fails DR when real app connects); atomic swap + pre-exec check shrink window.","A hostile swapped binary still runs as the user and can abuse the daemon's own creds/entitlements before any app connects; peer-auth only contains impersonation TO the app.","Medium","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","OpenBurnBarDaemonManager+Lifecycle.swift / ~/Library/Application Support/.../daemon/OpenBurnBarDaemon (0755)","Daemon/Core","P2 (important hardening)","Standard"
"T-DMN-04","Daemon does not cryptographically re-verify the phone single-use local-auth proof","Agentic:authority-confusion / STRIDE:Elevation","STRIDE; Agentic","ComputerUseRunCoordinator (daemon) vs PhoneControlAuthorityValidator (app)","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","Op-hash-bound Ed25519 proof is validated only in the app/relay; daemon gate is entitlement+scope+burst-signature, trusting the app to have done step-up. If app is compromised (T-DMN-01) the proof requirement is bypassed for shell/system-input/workspace-write.","Medium","Medium","Medium","App peer code-sig gate; daemon scope/deny/budget gate.","No daemon-side proof verification; proof binding is only as strong as app integrity (daemon does not hold the phone verifying key).","Medium (High if app compromised)","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","ComputerUseRunCoordinator (daemon) vs PhoneControlAuthorityValidator (app)","Daemon/Core","P2 (important hardening)","Standard"
"T-DMN-05","Production env escape hatch disables peer code-sig enforcement","STRIDE:Spoofing","STRIDE","OpenBurnBarDaemonMain.swift:76 makePeerAuthenticator","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","Same-uid actor influencing the daemon launch env sets OPENBURNBAR_DAEMON_DISABLE_PEER_CODESIG=1, dropping the main-socket gate to .disabled (every peer admitted); only the bearer token remains.","Medium","Medium","Medium","launchd plist app-written 0600; bearer token still required.","Opt-out ships in the released binary; attacker controlling plist/env removes the load-bearing gate.","Medium","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","OpenBurnBarDaemonMain.swift:76 makePeerAuthenticator","Daemon/Core","P2 (important hardening)","Standard"
"T-IOS-01","App Group container data not file-protected","Information Disclosure / LINDDUN Disclosure (MASVS-STORAGE-1)","LINDDUN; MASVS; ASVS","BurnBarWidgetSnapshot.swift:86-92, TextExpansionInbox.swift:29-38","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","App Group files written via Data.write(.atomic) with no protection class; keyboard/widget extensions have no data-protection entitlement; readable from a locked stolen device or Finder backup","Medium","Medium","Medium","Main-app entitlement floor; chat uses .complete","App Group container outside entitlement floor; no explicit protection class on shared-container writes","Disclosure of text-expansion snippet bodies, keyboard inbox, cost/model aggregates (not key material)","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","BurnBarWidgetSnapshot.swift:86-92, TextExpansionInbox.swift:29-38","Mobile-iOS","P2 (important hardening)","Standard"
"T-IOS-03","Mirror privacy mask is surface-scoped, not app-wide","Information Disclosure (MASVS-PLATFORM-3 screenshot/recording)","MASVS; ASVS","ScreenPrivacyGuard.swift; InlineAgentMirrorView.swift:222, AgentWatchView.swift:92","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","Screen recording/AirPlay/app-switcher snapshot captures chat, revealed provider-key SecureFields, vault recovery-key entry, dashboards; only the live Mac mirror is masked","Medium","Medium","Medium","screenPrivacyGuard() on two mirror views; SecureField hides input","No app-wide app-switcher cover; sensitive non-mirror screens recordable","Leak of conversation content, provider credentials, recovery keys via recording/recents","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","ScreenPrivacyGuard.swift; InlineAgentMirrorView.swift:222, AgentWatchView.swift:92","Mobile-iOS","P2 (important hardening)","Standard"
"T-IOS-04","Push preview/title carried as plaintext in APNs payload","Information Disclosure (MASVS-NETWORK / data minimization)","MASVS; ASVS","AgentReplyNotificationService.swift:36-45,188-206,260","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","Pushes put title/preview into UNNotificationContent.body and userInfo; APNs sees them and they render on lock screen; previews 'generic today' is not a code-level guarantee","Medium","Medium","Medium","Markdown flattening; device fan-out respects auth state","No enforced redaction or mutable-content + NSE to fetch/decrypt body client-side","Sensitive agent reply text could surface on lock screen and transit APNs cleartext","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","AgentReplyNotificationService.swift:36-45,188-206,260","Mobile-iOS","P2 (important hardening)","Standard"
"T-IOS-05","Sensitive material copied to system pasteboard without expiry/local-only","Information Disclosure (MASVS-STORAGE-2 pasteboard)","MASVS; ASVS","SmartHubDisplaySettingsAdapter.swift:106, HermesSettingsView.swift:2101, MercuryLiveSheet.swift:1969","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","UIPasteboard.general.string writes with no expirationDate/localOnly; can include bootstrap/refresh URLs, curl snippets w/ bearer tokens, Mac clipboard; readable by other apps + Universal Clipboard","Medium","Medium","Medium","Size bound on Mac-clipboard paste","No UIPasteboard expirationDate/localOnly; no clearing","Token/URL/clipboard disclosure to other apps and Handoff-paired devices","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","SmartHubDisplaySettingsAdapter.swift:106, HermesSettingsView.swift:2101, MercuryLiveSheet.swift:1969","Mobile-iOS","P2 (important hardening)","Standard"
"T-IOS-09","Vault/escrow keys not biometry- or Secure-Enclave-bound","Tampering / Information Disclosure (MASVS-CRYPTO-2 key protection)","MASVS; ASVS","CloudVaultCrypto.swift:1414-1429, iOSDeviceKeypair.swift:101-116","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","32-byte vault key and P-256 escrow private key stored as raw kSecValueData (WhenUnlockedThisDeviceOnly), not SE-wrapped or .biometryCurrentSet-gated; any app-context code on an unlocked device reads the vault key and decrypts CloudVault","Medium","Medium","Medium","Device-only accessibility; ComputerUse uses a separate SE+biometry proof credential","Vault and escrow secrets are not SE-wrapped or biometric-gated despite an implemented pattern elsewhere","Whole-vault decryption from app context on an unlocked device","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","CloudVaultCrypto.swift:1414-1429, iOSDeviceKeypair.swift:101-116","Mobile-iOS","P2 (important hardening)","Standard"
"T-PRV-04","Server log scrubber is pattern-based; numeric/non-pattern PII bypasses","LINDDUN Disclosure; STRIDE Information Disclosure","STRIDE; LINDDUN","functions/src/logging.ts:16-29,48-90","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","scrubValue only transforms strings; numbers/booleans pass through; values not matching {email,IPv4,sk-|AIza|ya29.|eyJ,16-digit CC} logged verbatim; new provider key formats not all covered; free-form String(error) may carry tokens/paths","Medium","Medium","Medium","Known-prefix + key-name redaction + 1024-char truncation","No allowlist model; numeric values unscrubbed; depends on sensitive field naming","Medium; log/Sentry secret disclosure on edge fields","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","functions/src/logging.ts:16-29,48-90","Backend (Privacy)","P2 (important hardening)","Standard"
"T-PRV-05","Encrypted-search metadata: facets + posting graph + access patterns enable inference","LINDDUN Linking + Detecting + Disclosure; SSE leakage","LINDDUN","functions/src/callables/encryptedSearchIndex.ts:44-67, encryptedSearch.ts:618-757","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","Server observes co-occurring tokenHashes per chunk, posting fan-out, query-time hashes, result sizes/scores, and cleartext facets (provider/model/deviceId/cost/tokens/startTime); frequency+facet analysis yields providers used, spend, timeline, device, repeated query topics","Medium","Medium","Medium","Per-user HKDF keying; sealed snippets/titles; bounded hash counts","No padding/dummy-posting noise; cleartext facets; query hashes sent in clear","Medium; content-adjacent inference and behavioral profiling by curious/compromised operator","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","functions/src/callables/encryptedSearchIndex.ts:44-67, encryptedSearch.ts:618-757","Backend (Privacy)","P2 (important hardening)","Standard"
"T-PTR-01","Revocation leaves pre-revocation vault key un-clawed-back (cached-key window)","STRIDE:Info/Elevation; framework T-ID-4 / RR-5","STRIDE","revokeEscrowDeviceTrust + rotation chain","Device pairing & trusted-device promotion","Device trust graph, pairing records, vault wraps","Malicious cloud/admin or social-engineering pairer","Firestore write (admin) or victim approving a pending device / first-pairing TOFU window","Trusted device compromised/lost -> operator revokes -> grants/controllers/sessions severed immediately and rotation queued -> revoked device's already-cached vault key still decrypts pre-revocation synced content until a survivor finishes rotation+rewrap.","Medium","Low","Medium","Inline + survivor + stale-detector rotation now wired (computerUseSecurity.ts:1532; ComputerUseSecurityCallableClient.swift:302,370); active wrappers revoked at revoke (:1508).","No claw-back: nothing invalidates a key already resident on the revoked device.","Time-bounded read of pre-revocation content by an offline thief; new wraps blocked. Down-graded from package's 'rotation entirely unwired'.","high_risk_action_nonces, escrow approval audit events; pairing-record write audit","See security-test-plan.md (T-PTR); automated regression recommended","revokeEscrowDeviceTrust + rotation chain","Identity/Pairing","P2 (important hardening)","Standard"
"T-PTR-02","Rotation requirement starves on uneven survivor-pickup trigger coverage","STRIDE:DoS; Agentic-availability","STRIDE; Agentic","pickUpPendingCloudVaultRotations (Mac/Android/iOS)","Device pairing & trusted-device promotion","Device trust graph, pairing records, vault wraps","Malicious cloud/admin or social-engineering pairer","Firestore write (admin) or victim approving a pending device / first-pairing TOFU window","Revoking device offline; only online survivor is iOS (no rotate-pickup trigger) or an Android device whose user never opens the Devices screen (pickup fires only 'once per store instance from devices surface first load', DevicesStore.kt:110-115). Requirement stays pending; stale detector only flags.","Medium","Low","Medium","Mac: launch+every-foreground+post-revoke (AppDelegate.swift:119,134,143). Android: full rotate path (AndroidCloudVaultRevocationRotation.kt:135). Detector cloudVaultRotationResilience.ts:268.","No server-driven rotation; iOS has no survivor rotate-pickup; Android pickup is Devices-screen-gated, not per-foreground.","Prolonged cached-key window for iOS-survivor or Devices-screen-avoidant fleets.","high_risk_action_nonces, escrow approval audit events; pairing-record write audit","See security-test-plan.md (T-PTR); automated regression recommended","pickUpPendingCloudVaultRotations (Mac/Android/iOS)","Identity/Pairing","P2 (important hardening)","Standard"
